level_0,index,ranking_date,rank,player,points
0,60,2000-01-10 00:00:00,61,Roger Federer,616.0
1,1615,2000-01-17 00:00:00,62,Roger Federer,620.0
2,3185,2000-01-24 00:00:00,62,Roger Federer,620.0
3,4754,2000-01-31 00:00:00,61,Roger Federer,652.0
4,6333,2000-02-07 00:00:00,67,Roger Federer,582.0
5,7893,2000-02-14 00:00:00,54,Roger Federer,701.0
6,9474,2000-02-21 00:00:00,66,Roger Federer,625.0
7,11035,2000-02-28 00:00:00,58,Roger Federer,684.0
8,12598,2000-03-06 00:00:00,49,Roger Federer,753.0
9,14179,2000-03-13 00:00:00,50,Roger Federer,753.0
10,15765,2000-03-20 00:00:00,53,Roger Federer,753.0
11,17358,2000-03-27 00:00:00,53,Roger Federer,753.0
12,18948,2000-04-03 00:00:00,50,Roger Federer,767.0
13,20540,2000-04-10 00:00:00,48,Roger Federer,767.0
14,22136,2000-04-17 00:00:00,49,Roger Federer,767.0
15,23731,2000-04-24 00:00:00,51,Roger Federer,771.0
16,25315,2000-05-01 00:00:00,48,Roger Federer,774.0
17,26899,2000-05-08 00:00:00,51,Roger Federer,732.0
18,28489,2000-05-15 00:00:00,50,Roger Federer,735.0
19,30087,2000-05-22 00:00:00,54,Roger Federer,735.0
20,31680,2000-05-29 00:00:00,54,Roger Federer,735.0
21,33286,2000-06-05 00:00:00,54,Roger Federer,735.0
22,34876,2000-06-12 00:00:00,38,Roger Federer,859.0
23,36461,2000-06-19 00:00:00,35,Roger Federer,914.0
24,38037,2000-06-26 00:00:00,35,Roger Federer,914.0
25,39632,2000-07-03 00:00:00,35,Roger Federer,914.0
26,41233,2000-07-10 00:00:00,39,Roger Federer,911.0
27,42817,2000-07-17 00:00:00,39,Roger Federer,911.0
28,44410,2000-07-24 00:00:00,40,Roger Federer,911.0
29,45986,2000-07-31 00:00:00,38,Roger Federer,911.0
30,47563,2000-08-07 00:00:00,39,Roger Federer,902.0
31,49034,2000-08-14 00:00:00,40,Roger Federer,892.0
32,50617,2000-08-21 00:00:00,40,Roger Federer,892.0
33,52194,2000-08-28 00:00:00,40,Roger Federer,892.0
34,53772,2000-09-04 00:00:00,40,Roger Federer,892.0
35,55347,2000-09-11 00:00:00,36,Roger Federer,943.0
36,56913,2000-09-18 00:00:00,36,Roger Federer,933.0
37,58507,2000-09-25 00:00:00,36,Roger Federer,933.0
38,60098,2000-10-02 00:00:00,30,Roger Federer,1064.0
39,61725,2000-10-09 00:00:00,31,Roger Federer,1036.0
40,63367,2000-10-16 00:00:00,32,Roger Federer,1018.0
41,64993,2000-10-23 00:00:00,34,Roger Federer,1018.0
42,66611,2000-10-30 00:00:00,25,Roger Federer,1115.0
43,68240,2000-01-01 00:06:00,24,Roger Federer,1135.0
44,69868,2000-01-01 01:03:00,24,Roger Federer,1135.0
45,71501,2000-01-01 02:00:00,29,Roger Federer,1080.0
46,73120,2000-01-01 02:07:00,29,Roger Federer,1080.0
47,74739,2000-01-02 00:04:00,29,Roger Federer,1080.0
48,76353,2000-01-02 01:01:00,29,Roger Federer,1080.0
49,77959,2000-01-02 01:08:00,29,Roger Federer,1080.0
50,79566,2000-01-02 02:05:00,29,Roger Federer,1080.0
51,81172,2001-01-01 00:00:00,29,Roger Federer,1080.0
52,82779,2001-01-08 00:00:00,30,Roger Federer,1080.0
53,84384,2001-01-15 00:00:00,29,Roger Federer,1080.0
54,85990,2001-01-22 00:00:00,29,Roger Federer,1080.0
55,87481,2001-01-29 00:00:00,27,Roger Federer,1080.0
56,89077,2001-02-05 00:00:00,22,Roger Federer,1195.0
57,90680,2001-02-12 00:00:00,23,Roger Federer,1135.0
58,92276,2001-02-19 00:00:00,23,Roger Federer,1150.0
59,93863,2001-02-26 00:00:00,20,Roger Federer,1250.0
60,95461,2001-03-05 00:00:00,20,Roger Federer,1250.0
61,97066,2001-03-12 00:00:00,21,Roger Federer,1250.0
62,98665,2001-03-19 00:00:00,24,Roger Federer,1180.0
63,100259,2001-03-26 00:00:00,24,Roger Federer,1180.0
64,101849,2001-04-02 00:00:00,21,Roger Federer,1290.0
65,103441,2001-04-09 00:00:00,21,Roger Federer,1290.0
66,105038,2001-04-16 00:00:00,22,Roger Federer,1290.0
67,106631,2001-04-23 00:00:00,19,Roger Federer,1410.0
68,108225,2001-04-30 00:00:00,19,Roger Federer,1410.0
69,109816,2001-05-07 00:00:00,18,Roger Federer,1410.0
70,111408,2001-05-14 00:00:00,18,Roger Federer,1480.0
71,113005,2001-05-21 00:00:00,18,Roger Federer,1480.0
72,114610,2001-05-28 00:00:00,18,Roger Federer,1480.0
73,116218,2001-06-04 00:00:00,18,Roger Federer,1480.0
74,117717,2001-06-11 00:00:00,14,Roger Federer,1580.0
75,119342,2001-06-18 00:00:00,15,Roger Federer,1580.0
76,120967,2001-06-25 00:00:00,15,Roger Federer,1580.0
77,122586,2001-07-02 00:00:00,15,Roger Federer,1580.0
78,124203,2001-07-09 00:00:00,14,Roger Federer,1825.0
79,125815,2001-07-16 00:00:00,14,Roger Federer,1825.0
80,127424,2001-07-23 00:00:00,14,Roger Federer,1825.0
81,129039,2001-07-30 00:00:00,14,Roger Federer,1825.0
82,130657,2001-08-06 00:00:00,14,Roger Federer,1820.0
83,132270,2001-08-13 00:00:00,13,Roger Federer,1815.0
84,133884,2001-08-20 00:00:00,13,Roger Federer,1815.0
85,135506,2001-08-27 00:00:00,13,Roger Federer,1815.0
86,137128,2001-09-03 00:00:00,13,Roger Federer,1815.0
87,138748,2001-09-10 00:00:00,12,Roger Federer,1890.0
88,140379,2001-09-17 00:00:00,12,Roger Federer,1890.0
89,142006,2001-09-24 00:00:00,12,Roger Federer,1890.0
90,142996,2001-09-24 00:00:00,1002,Rafael Nadal,5.0
91,143673,2001-10-01 00:00:00,12,Roger Federer,1810.0
92,144663,2001-10-01 00:00:00,990,Rafael Nadal,5.0
93,145332,2001-10-08 00:00:00,12,Roger Federer,1810.0
94,146314,2001-10-08 00:00:00,987,Rafael Nadal,5.0
95,146983,2001-10-15 00:00:00,12,Roger Federer,1775.0
96,147973,2001-10-15 00:00:00,990,Rafael Nadal,5.0
97,148629,2001-10-22 00:00:00,13,Roger Federer,1745.0
98,149619,2001-10-22 00:00:00,993,Rafael Nadal,5.0
99,150271,2001-10-29 00:00:00,13,Roger Federer,1745.0
100,151276,2001-10-29 00:00:00,1009,Rafael Nadal,5.0
101,151932,2001-01-01 00:05:00,12,Roger Federer,1745.0
102,152952,2001-01-01 00:05:00,1021,Rafael Nadal,5.0
103,153595,2001-01-01 01:02:00,12,Roger Federer,1745.0
104,154399,2001-01-01 01:02:00,816,Rafael Nadal,11.0
105,155245,2001-01-01 01:09:00,13,Roger Federer,1745.0
106,156049,2001-01-01 01:09:00,817,Rafael Nadal,11.0
107,156899,2001-01-01 02:06:00,13,Roger Federer,1745.0
108,157704,2001-01-01 02:06:00,818,Rafael Nadal,11.0
109,158456,2001-01-02 00:03:00,13,Roger Federer,1745.0
110,159259,2001-01-02 00:03:00,816,Rafael Nadal,11.0
111,160120,2001-01-02 01:00:00,13,Roger Federer,1745.0
112,160921,2001-01-02 01:00:00,814,Rafael Nadal,11.0
113,161790,2001-01-02 01:07:00,13,Roger Federer,1745.0
114,162588,2001-01-02 01:07:00,811,Rafael Nadal,11.0
115,163458,2001-01-02 02:04:00,13,Roger Federer,1745.0
116,164256,2001-01-02 02:04:00,811,Rafael Nadal,11.0
117,165126,2001-01-02 03:01:00,13,Roger Federer,1745.0
118,165924,2001-01-02 03:01:00,811,Rafael Nadal,11.0
119,166794,2002-01-07 00:00:00,13,Roger Federer,1745.0
120,167591,2002-01-07 00:00:00,810,Rafael Nadal,11.0
121,168460,2002-01-14 00:00:00,12,Roger Federer,1845.0
122,169258,2002-01-14 00:00:00,810,Rafael Nadal,11.0
123,170128,2002-01-21 00:00:00,12,Roger Federer,1845.0
124,170926,2002-01-21 00:00:00,810,Rafael Nadal,11.0
125,171797,2002-01-28 00:00:00,13,Roger Federer,1920.0
126,172593,2002-01-28 00:00:00,809,Rafael Nadal,11.0
127,173461,2002-02-04 00:00:00,13,Roger Federer,1865.0
128,174219,2002-02-04 00:00:00,771,Rafael Nadal,13.0
129,175130,2002-02-11 00:00:00,13,Roger Federer,1865.0
130,175888,2002-02-11 00:00:00,771,Rafael Nadal,13.0
131,176803,2002-02-18 00:00:00,13,Roger Federer,1865.0
132,177560,2002-02-18 00:00:00,770,Rafael Nadal,13.0
133,178477,2002-02-25 00:00:00,14,Roger Federer,1750.0
134,179226,2002-02-25 00:00:00,763,Rafael Nadal,13.0
135,180142,2002-03-04 00:00:00,14,Roger Federer,1750.0
136,180888,2002-03-04 00:00:00,760,Rafael Nadal,13.0
137,181806,2002-03-11 00:00:00,14,Roger Federer,1750.0
138,182556,2002-03-11 00:00:00,764,Rafael Nadal,13.0
139,183473,2002-03-18 00:00:00,14,Roger Federer,1820.0
140,184225,2002-03-18 00:00:00,766,Rafael Nadal,13.0
141,185142,2002-03-25 00:00:00,14,Roger Federer,1820.0
142,185894,2002-03-25 00:00:00,766,Rafael Nadal,13.0
143,186808,2002-04-01 00:00:00,11,Roger Federer,2045.0
144,187567,2002-04-01 00:00:00,770,Rafael Nadal,13.0
145,188481,2002-04-08 00:00:00,11,Roger Federer,2045.0
146,189239,2002-04-08 00:00:00,769,Rafael Nadal,13.0
147,190150,2002-04-15 00:00:00,11,Roger Federer,2045.0
148,190911,2002-04-15 00:00:00,772,Rafael Nadal,13.0
149,191824,2002-04-22 00:00:00,11,Roger Federer,1955.0
150,192585,2002-04-22 00:00:00,772,Rafael Nadal,13.0
151,193501,2002-04-29 00:00:00,11,Roger Federer,1955.0
152,194252,2002-04-29 00:00:00,762,Rafael Nadal,14.0
153,195089,2002-05-06 00:00:00,11,Roger Federer,1955.0
154,195666,2002-05-06 00:00:00,588,Rafael Nadal,29.0
155,196779,2002-05-13 00:00:00,14,Roger Federer,1885.0
156,197352,2002-05-13 00:00:00,587,Rafael Nadal,29.0
157,198458,2002-05-20 00:00:00,8,Roger Federer,2380.0
158,199036,2002-05-20 00:00:00,586,Rafael Nadal,29.0
159,200143,2002-05-27 00:00:00,8,Roger Federer,2380.0
160,200724,2002-05-27 00:00:00,589,Rafael Nadal,29.0
161,201837,2002-06-03 00:00:00,8,Roger Federer,2380.0
162,202418,2002-06-03 00:00:00,589,Rafael Nadal,29.0
163,203533,2002-06-10 00:00:00,10,Roger Federer,2135.0
164,204115,2002-06-10 00:00:00,592,Rafael Nadal,29.0
165,205218,2002-06-17 00:00:00,9,Roger Federer,2175.0
166,205801,2002-06-17 00:00:00,592,Rafael Nadal,29.0
167,206908,2002-06-24 00:00:00,9,Roger Federer,2160.0
168,207495,2002-06-24 00:00:00,596,Rafael Nadal,29.0
169,208592,2002-07-01 00:00:00,9,Roger Federer,2160.0
170,209179,2002-07-01 00:00:00,596,Rafael Nadal,29.0
171,210278,2002-07-08 00:00:00,11,Roger Federer,1915.0
172,210865,2002-07-08 00:00:00,598,Rafael Nadal,29.0
173,211686,2002-07-15 00:00:00,10,Roger Federer,1915.0
174,212269,2002-07-15 00:00:00,593,Rafael Nadal,29.0
175,213384,2002-07-22 00:00:00,10,Roger Federer,1915.0
176,213863,2002-07-22 00:00:00,489,Rafael Nadal,47.0
177,214787,2002-07-29 00:00:00,10,Roger Federer,1915.0
178,215268,2002-07-29 00:00:00,491,Rafael Nadal,47.0
179,216190,2002-08-05 00:00:00,14,Roger Federer,1920.0
180,216644,2002-08-05 00:00:00,468,Rafael Nadal,51.0
181,217592,2002-08-12 00:00:00,13,Roger Federer,1925.0
182,218045,2002-08-12 00:00:00,466,Rafael Nadal,51.0
183,219000,2002-08-19 00:00:00,13,Roger Federer,1925.0
184,219447,2002-08-19 00:00:00,460,Rafael Nadal,51.0
185,220408,2002-08-26 00:00:00,13,Roger Federer,1925.0
186,220781,2002-08-26 00:00:00,386,Rafael Nadal,69.0
187,221820,2002-09-02 00:00:00,13,Roger Federer,1925.0
188,222193,2002-09-02 00:00:00,386,Rafael Nadal,69.0
189,223232,2002-09-09 00:00:00,13,Roger Federer,1925.0
190,223582,2002-09-09 00:00:00,363,Rafael Nadal,75.0
191,224648,2002-09-16 00:00:00,13,Roger Federer,1925.0
192,224992,2002-09-16 00:00:00,357,Rafael Nadal,75.0
193,226062,2002-09-23 00:00:00,13,Roger Federer,1925.0
194,226423,2002-09-23 00:00:00,374,Rafael Nadal,70.0
195,227766,2002-09-30 00:00:00,13,Roger Federer,1925.0
196,228079,2002-09-30 00:00:00,326,Rafael Nadal,88.0
197,229468,2002-10-07 00:00:00,13,Roger Federer,1925.0
198,229716,2002-10-07 00:00:00,261,Rafael Nadal,111.0
199,231156,2002-10-14 00:00:00,7,Roger Federer,2115.0
200,231385,2002-10-14 00:00:00,236,Rafael Nadal,135.0
201,232855,2002-10-21 00:00:00,8,Roger Federer,2235.0
202,233079,2002-10-21 00:00:00,232,Rafael Nadal,135.0
203,234555,2002-10-28 00:00:00,8,Roger Federer,2170.0
204,234778,2002-10-28 00:00:00,231,Rafael Nadal,135.0
205,236229,2002-01-01 00:04:00,6,Roger Federer,2290.0
206,236452,2002-01-01 00:04:00,229,Rafael Nadal,135.0
207,237908,2002-01-01 01:01:00,6,Roger Federer,2290.0
208,238139,2002-01-01 01:01:00,237,Rafael Nadal,129.0
209,239592,2002-01-01 01:08:00,6,Roger Federer,2590.0
210,239821,2002-01-01 01:08:00,235,Rafael Nadal,129.0
211,241276,2002-01-01 02:05:00,6,Roger Federer,2590.0
212,241508,2002-01-01 02:05:00,238,Rafael Nadal,129.0
213,242954,2002-01-02 00:02:00,6,Roger Federer,2590.0
214,243161,2002-01-02 00:02:00,213,Rafael Nadal,147.0
215,244627,2002-01-02 00:09:00,6,Roger Federer,2590.0
216,244821,2002-01-02 00:09:00,200,Rafael Nadal,165.0
217,246286,2002-01-02 01:06:00,6,Roger Federer,2590.0
218,246480,2002-01-02 01:06:00,200,Rafael Nadal,165.0
219,247948,2002-01-02 02:03:00,6,Roger Federer,2590.0
220,248142,2002-01-02 02:03:00,200,Rafael Nadal,165.0
221,249610,2002-01-02 03:00:00,6,Roger Federer,2590.0
222,249804,2002-01-02 03:00:00,200,Rafael Nadal,165.0
223,251272,2003-01-06 00:00:00,6,Roger Federer,2590.0
224,251464,2003-01-06 00:00:00,198,Rafael Nadal,165.0
225,252937,2003-01-13 00:00:00,6,Roger Federer,2475.0
226,253129,2003-01-13 00:00:00,198,Rafael Nadal,165.0
227,254602,2003-01-20 00:00:00,6,Roger Federer,2475.0
228,254794,2003-01-20 00:00:00,198,Rafael Nadal,165.0
229,256265,2003-01-27 00:00:00,5,Roger Federer,2475.0
230,256463,2003-01-27 00:00:00,203,Rafael Nadal,165.0
231,257932,2003-02-03 00:00:00,6,Roger Federer,2415.0
232,258109,2003-02-03 00:00:00,183,Rafael Nadal,198.0
233,259596,2003-02-10 00:00:00,6,Roger Federer,2415.0
234,259765,2003-02-10 00:00:00,175,Rafael Nadal,210.0
235,261264,2003-02-17 00:00:00,5,Roger Federer,2530.0
236,261433,2003-02-17 00:00:00,174,Rafael Nadal,210.0
237,262933,2003-02-24 00:00:00,5,Roger Federer,2580.0
238,263105,2003-02-24 00:00:00,177,Rafael Nadal,210.0
239,264601,2003-03-03 00:00:00,4,Roger Federer,2780.0
240,264746,2003-03-03 00:00:00,149,Rafael Nadal,252.0
241,266270,2003-03-10 00:00:00,4,Roger Federer,2780.0
242,266419,2003-03-10 00:00:00,153,Rafael Nadal,253.0
243,267936,2003-03-17 00:00:00,4,Roger Federer,2740.0
244,268084,2003-03-17 00:00:00,152,Rafael Nadal,253.0
245,269604,2003-03-24 00:00:00,4,Roger Federer,2740.0
246,269752,2003-03-24 00:00:00,152,Rafael Nadal,253.0
247,271273,2003-03-31 00:00:00,5,Roger Federer,2515.0
248,271382,2003-03-31 00:00:00,114,Rafael Nadal,337.0
249,272938,2003-04-07 00:00:00,5,Roger Federer,2515.0
250,273045,2003-04-07 00:00:00,112,Rafael Nadal,337.0
251,274605,2003-04-14 00:00:00,5,Roger Federer,2515.0
252,274709,2003-04-14 00:00:00,109,Rafael Nadal,337.0
253,276272,2003-04-21 00:00:00,5,Roger Federer,2480.0
254,276363,2003-04-21 00:00:00,96,Rafael Nadal,426.0
255,277939,2003-04-28 00:00:00,5,Roger Federer,2480.0
256,278027,2003-04-28 00:00:00,93,Rafael Nadal,438.0
257,279612,2003-05-05 00:00:00,5,Roger Federer,2545.0
258,279692,2003-05-05 00:00:00,85,Rafael Nadal,486.0
259,281286,2003-05-12 00:00:00,5,Roger Federer,2890.0
260,281368,2003-05-12 00:00:00,87,Rafael Nadal,486.0
261,282964,2003-05-19 00:00:00,5,Roger Federer,2465.0
262,283033,2003-05-19 00:00:00,74,Rafael Nadal,573.0
263,284653,2003-05-26 00:00:00,5,Roger Federer,2465.0
264,284723,2003-05-26 00:00:00,75,Rafael Nadal,573.0
265,286338,2003-06-02 00:00:00,5,Roger Federer,2465.0
266,286408,2003-06-02 00:00:00,75,Rafael Nadal,573.0
267,288023,2003-06-09 00:00:00,5,Roger Federer,2465.0
268,288095,2003-06-09 00:00:00,77,Rafael Nadal,569.0
269,289714,2003-06-16 00:00:00,5,Roger Federer,2580.0
270,289786,2003-06-16 00:00:00,77,Rafael Nadal,569.0
271,291407,2003-06-23 00:00:00,5,Roger Federer,2580.0
272,291478,2003-06-23 00:00:00,76,Rafael Nadal,569.0
273,293106,2003-06-30 00:00:00,5,Roger Federer,2580.0
274,293177,2003-06-30 00:00:00,76,Rafael Nadal,569.0
